path,module,name,line,length
sentinel-control/services/sentinel-core/tests/test_browser_runtime_unification_l6_login_file_js_dispatch_lock.py,tests.test_browser_runtime_unification_l6_login_file_js_dispatch_lock,test_dispatcher_string_false_does_not_enable_l6_login_js_or_download,676,111
sentinel-control/services/sentinel-core/sentinel/agent/organs/local_artifact_executor.py,sentinel.agent.organs.local_artifact_executor,execute,278,110
sentinel-control/services/sentinel-core/sentinel/agent/tool_selector.py,sentinel.agent.tool_selector,select,36,109
sentinel-control/services/sentinel-core/sentinel/operator/cockpit.py,sentinel.operator.cockpit,_start,225,108
sentinel-control/services/sentinel-core/sentinel/operator/financial_authority.py,sentinel.operator.financial_authority,plan_spend,111,108
sentinel-control/services/sentinel-core/tests/test_deep_audit_global_invariants_power_truth_reconciliation.py,tests.test_deep_audit_global_invariants_power_truth_reconciliation,test_global_sensitive_canary_is_not_persisted_across_core_data_surfaces,18,108
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_non_blocking_property.py,tests.perf.sched.test_scheduler_non_blocking_property,test_outcome_event_correctness,699,108
sentinel-control/services/sentinel-core/sentinel/agent/action_engine.py,sentinel.agent.action_engine,prepare_browser_action,224,107
sentinel-control/services/sentinel-core/sentinel/agent/repair_loop.py,sentinel.agent.repair_loop,decide,73,107
sentinel-control/services/sentinel-core/sentinel/operator/account_authority.py,sentinel.operator.account_authority,execute_login,172,107
sentinel-control/services/sentinel-core/sentinel/operator/financial_authority.py,sentinel.operator.financial_authority,execute_sandbox_spend,326,107
sentinel-control/services/sentinel-core/tests/perf/sched/test_scheduler_benchmark.py,tests.perf.sched.test_scheduler_benchmark,test_scheduler_submit_p95_under_1ms,297,107
sentinel-control/services/sentinel-core/sentinel/agent/eval_bench.py,sentinel.agent.eval_bench,_p2p_checks,332,106
sentinel-control/services/sentinel-core/sentinel/organs/browser/public_lifecycle.py,sentinel.organs.browser.public_lifecycle,navigate_tab,191,106
sentinel-control/services/sentinel-core/tests/perf/hot_cold/test_phase_b_benchmarks.py,tests.perf.hot_cold.test_phase_b_benchmarks,test_receipt_index_query_p95_full_scale_100k,247,106
sentinel-control/services/sentinel-core/tests/perf/sched/test_runtime_scheduler_wiring.py,tests.perf.sched.test_runtime_scheduler_wiring,_route_with_triggered_switch,398,106
sentinel-control/services/sentinel-core/sentinel/operator/financial_authority.py,sentinel.operator.financial_authority,plan_trade,220,105
