from_cluster,to_cluster,edge_count
sentinel.organs.browser,sentinel.organs.authority,3
sentinel.organs.channels,sentinel.organs.lanes,3
sentinel.organs.desktop,sentinel.organs.contracts,3
sentinel.missions.gtm,sentinel.shared.enums,3
sentinel.missions.research_summary,sentinel.shared.enums,3
sentinel.decision.debate,sentinel.shared.enums,3
sentinel.agent.browser,sentinel.agent.events,3
sentinel.agent.browser,sentinel.agent.phases,3
sentinel.agent.llm,sentinel.agent.events,3
sentinel.agent.llm,sentinel.agent.phases,3
sentinel.agent.organs,sentinel.power.runtime,3
sentinel.agent.perception,sentinel.agent.perception,3
tests.test_browser_readonly_organ_v1,sentinel.agent.organs,3
tests.test_mission_authority_and_credential_vault_foundation,sentinel.agent.organs,3
tests.test_mission_kernel,sentinel.mission.artifacts,3
tests.test_motor_neuron_to_organ_dispatch_lock,sentinel.agent.browser,3
tests.test_real_model_execution_groq,sentinel.agent.model_execution,3
tests.test_real_model_execution_nvidia,sentinel.agent.model_execution,3
tests.test_sanitization_property,sentinel.agent.evidence_ranker,3
tests.operator,sentinel.operator.connection_manifest_models,3
tests.operator,sentinel.operator.connection_manifest_registry,3
tests.operator,sentinel.operator.channel_adapter_models,3
tests.operator,sentinel.operator.channel_adapter_replay,3
tests.operator,sentinel.operator.connection_live_channel_action_models,3
tests.operator,sentinel.operator.connection_live_channel_action_runtime,3
tests.operator,sentinel.operator.mission_lifecycle_service,3
tests.perf,sentinel.agent.evidence_ranker,3
tests.perf,sentinel.organs.authority,3
tests.perf,sentinel.organs.dry_run,3
sentinel.cli,sentinel.organs.browser,2
sentinel.power_lab,sentinel.agent.organs,2
sentinel.agent.action_engine,sentinel.agent.browser,2
sentinel.agent.final_gate,sentinel.agent.final_gate_registry,2
sentinel.agent.repair_loop,sentinel.agent.effort_router,2
sentinel.agent.runtime,sentinel.agent.browser,2
sentinel.agent.runtime,sentinel.agent.model_execution,2
sentinel.agent.runtime,sentinel.agent.organs,2
sentinel.agent.runtime,sentinel.perf.measure,2
sentinel.agent.runtime,sentinel.organs.authority,2
sentinel.agent.runtime,sentinel.organs.dry_run,2
sentinel.agent.runtime,sentinel.organs.kill_switch,2
sentinel.mission.runner,sentinel.mission.exceptions,2
sentinel.operator.cockpit,sentinel.operator.models,2
sentinel.operator.runtime_host,sentinel.operator.mission_lifecycle_service,2
sentinel.operator.voice_runtime,sentinel.operator.voice_models,2
sentinel.organs.capability_frontier,sentinel.organs.capital,2
sentinel.organs.real_world_gauntlet,sentinel.organs.capital,2
sentinel.organs.receipts,sentinel.perf.hot_cold,2
sentinel.telemetry.kernel,sentinel.agent.model_execution,2
sentinel.perf.bench,sentinel.perf.workspace,2
sentinel.perf.caches,sentinel.agent.evidence_ranker,2
sentinel.perf.measure,sentinel.shared.events,2
sentinel.perf.sched,sentinel.shared.events,2
sentinel.organs.browser,sentinel.organs.contracts,2
sentinel.organs.browser,sentinel.agent.tool_call_protocol,2
sentinel.organs.browser,sentinel.capabilities.registry,2
sentinel.organs.browser,sentinel.mission.models,2
sentinel.organs.browser,sentinel.organs.lanes,2
sentinel.organs.channels,sentinel.organs.authority,2
sentinel.organs.trading,sentinel.shared.models,2
sentinel.organs.trading,sentinel.organs.trading,2
sentinel.missions.gtm,sentinel.mission.models,2
sentinel.missions.gtm,sentinel.mission.safe_executors,2
sentinel.missions.research_summary,sentinel.mission.models,2
sentinel.missions.research_summary,sentinel.mission.safe_executors,2
sentinel.decision.debate,sentinel.shared.models,2
sentinel.agent.browser,sentinel.agent.artifact_capture,2
sentinel.agent.browser,sentinel.agent.eval_bench,2
sentinel.agent.browser,sentinel.mission.models,2
sentinel.agent.browser,sentinel.shared.enums,2
