from_path,from_module,to_module,kind,line
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.shared.events,from,26
sentinel-control/services/sentinel-core/sentinel/organs/browser/upload_authorized.py,sentinel.organs.browser.upload_authorized,sentinel.shared.models,from,27
sentinel-control/services/sentinel-core/sentinel/organs/browser/url_guard.py,sentinel.organs.browser.url_guard,sentinel.organs.browser.models,from,8
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.agent.artifact_capture,from,11
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.organs.browser.accessibility_snapshot,from,12
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.organs.browser.interaction_dry_run,from,13
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.organs.browser.models,from,14
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.organs.browser.v3_authority,from,15
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.shared.events,from,21
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_advanced_authorities.py,sentinel.organs.browser.v3_advanced_authorities,sentinel.shared.models,from,22
sentinel-control/services/sentinel-core/sentinel/organs/browser/v3_authority.py,sentinel.organs.browser.v3_authority,sentinel.shared.models,from,9
sentinel-control/services/sentinel-core/sentinel/organs/browser/verifier.py,sentinel.organs.browser.verifier,sentinel.organs.browser.models,from,7
sentinel-control/services/sentinel-core/sentinel/organs/browser/verifier.py,sentinel.organs.browser.verifier,sentinel.shared.events,from,8
sentinel-control/services/sentinel-core/sentinel/organs/browser/verifier.py,sentinel.organs.browser.verifier,sentinel.shared.models,from,9
sentinel-control/services/sentinel-core/sentinel/organs/browser/visual_observation.py,sentinel.organs.browser.visual_observation,sentinel.organs.browser.ui_observation,from,10
sentinel-control/services/sentinel-core/sentinel/organs/browser/visual_observation.py,sentinel.organs.browser.visual_observation,sentinel.shared.events,from,11
sentinel-control/services/sentinel-core/sentinel/organs/browser/visual_observation.py,sentinel.organs.browser.visual_observation,sentinel.shared.models,from,12
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.compliance_gate,from,1
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.contract,from,2
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.detection_bench,from,3
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.fingerprint_risk,from,4
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.misuse_classifier,from,5
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.navigation_l6,from,6
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.power_governor,from,40
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.receipts,from,41
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.reliability_profile,from,42
sentinel-control/services/sentinel-core/sentinel/organs/browser/__init__.py,sentinel.organs.browser.__init__,sentinel.organs.browser.session_policy,from,43
sentinel-control/services/sentinel-core/sentinel/organs/capital/sandbox.py,sentinel.organs.capital.sandbox,sentinel.shared.models,from,9
sentinel-control/services/sentinel-core/sentinel/organs/capital/__init__.py,sentinel.organs.capital.__init__,sentinel.organs.capital.sandbox,from,1
sentinel-control/services/sentinel-core/sentinel/organs/channels/compliance.py,sentinel.organs.channels.compliance,sentinel.organs.channels.draft,from,5
sentinel-control/services/sentinel-core/sentinel/organs/channels/compliance.py,sentinel.organs.channels.compliance,sentinel.organs.lanes,from,6
sentinel-control/services/sentinel-core/sentinel/organs/channels/compliance.py,sentinel.organs.channels.compliance,sentinel.shared.models,from,7
sentinel-control/services/sentinel-core/sentinel/organs/channels/contract.py,sentinel.organs.channels.contract,sentinel.shared.events,from,3
sentinel-control/services/sentinel-core/sentinel/organs/channels/contract.py,sentinel.organs.channels.contract,sentinel.organs.contracts,from,4
