path,module,kind,name,line,end_line,length
sentinel-control/services/sentinel-core/sentinel/agent/context_builder.py,sentinel.agent.context_builder,function,_do_build,44,70,27
sentinel-control/services/sentinel-core/sentinel/agent/context_compressor.py,sentinel.agent.context_compressor,class,ContextCompressor,11,29,19
sentinel-control/services/sentinel-core/sentinel/agent/context_compressor.py,sentinel.agent.context_compressor,function,__init__,12,13,2
sentinel-control/services/sentinel-core/sentinel/agent/context_compressor.py,sentinel.agent.context_compressor,function,compress,15,23,9
sentinel-control/services/sentinel-core/sentinel/agent/context_compressor.py,sentinel.agent.context_compressor,function,_do_compress,25,29,5
sentinel-control/services/sentinel-core/sentinel/agent/context_engine.py,sentinel.agent.context_engine,class,ContextNeed,14,21,8
sentinel-control/services/sentinel-core/sentinel/agent/context_engine.py,sentinel.agent.context_engine,class,ContextNeedEstimator,24,66,43
sentinel-control/services/sentinel-core/sentinel/agent/context_engine.py,sentinel.agent.context_engine,class,ContextCompressionResult,69,102,34
sentinel-control/services/sentinel-core/sentinel/agent/context_engine.py,sentinel.agent.context_engine,function,estimate,42,66,25
sentinel-control/services/sentinel-core/sentinel/agent/context_engine.py,sentinel.agent.context_engine,function,from_frame,81,102,22
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,ToolSchemaTokenReport,11,14,4
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,ReceiptTokenReport,17,20,4
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,OrganOutputTokenReport,23,25,3
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,ContextModeComparison,28,32,5
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,ContextPressureReport,35,63,29
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,class,ContextPressureAnalyzer,66,193,128
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,analyze,79,149,71
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,_compressed_tokens,152,156,5
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,_decision_frame_tokens,159,166,8
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,_cached_tokens,169,172,4
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,_largest_pressure_source,175,178,4
sentinel-control/services/sentinel-core/sentinel/agent/context_pressure.py,sentinel.agent.context_pressure,function,_p6r_inputs,181,193,13
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,class,ControlledCapabilityStatus,22,24,3
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,class,ControlledCapabilityReceipt,27,43,17
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,class,ControlledCapabilityResult,46,56,11
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,class,LocalControlledCapabilityRunner,59,277,219
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,__init__,64,71,8
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,run,73,190,118
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,_capture_markdown,193,213,21
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,_capture_json,216,236,21
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,_unique_effects,239,240,2
sentinel-control/services/sentinel-core/sentinel/agent/controlled_capability.py,sentinel.agent.controlled_capability,function,_rejected,243,277,35
sentinel-control/services/sentinel-core/sentinel/agent/decision_frame.py,sentinel.agent.decision_frame,function,_stable_hash,14,16,3
sentinel-control/services/sentinel-core/sentinel/agent/decision_frame.py,sentinel.agent.decision_frame,class,DecisionFrameHash,19,20,2
sentinel-control/services/sentinel-core/sentinel/agent/decision_frame.py,sentinel.agent.decision_frame,class,LLMDecisionFrame,23,120,98
